Location,Developer_Name,Project_Name
Dwarka Expressway,Geoworks Developers,Geoworks 1000 tress
Dwarka Expressway,Godrej Properties,Godrej Summit
Dwarka Expressway,Godrej Properties,Premia towers
Dwarka Expressway,Godrej Properties,Godrej imperial
Dwarka Expressway,Godrej Properties,Godrej oasis
Dwarka Expressway,Godrej Properties,Godrej icon
Golf Course Road,Gold Souk Infrastructure,Gold Souk Golf Links Apartment
Dwarka Expressway,Indiabulls Real Estate,Indiabulls Centrum Park
Dwarka Expressway,Indiabulls Real Estate,One India bulls
Dwarka Expressway,Indiabulls Real Estate,India bulls  juventes
Dwarka Expressway,IndiaBulls Real Estate Ltd,Indiabulls Enigma
Dwarka Expressway,Indiabulls Realestate and VayuVihar Infrastructure Pvt Ltd,Gulmohar avenue
Dwarka Expressway,International Land Developers,ILD engracia
Golf Course Road Extension,Ireo Group,Ireo The Grand Arch
Golf Course Road Extension,Ireo Group,Ireo Uptown
Golf Course Road Extension,Ireo Group,Ireo Skyon
Golf Course Road Extension,Ireo Group,Ireo Grand Hyat Residences
Golf Course Road Extension,Ireo Group,Ireo Victory Valley
Golf Course Road Extension,Ireo Group,Ireo The Corridors
Golf Course Road,ITC Group,ITC Laburnum
Dwarka Expressway,Kashish Developers,Manor One
Dwarka Expressway,Kashish Developers,Kashish manor one
Dwarka Expressway,Landmark Group,Landmark residency
Dwarka Expressway,Lotus Realtech,Lotus Elise
Dwarka Expressway,LOTUS REALTECH PVT. LTD,Lotus homes
Dwarka Expressway,M2K Group,M2K beaumonde
Golf Course Road Extension,M3M Group,M3M Golf Estate
Golf Course Road Extension,M3M Group,M3M Latitude
Golf Course Road Extension,M3M Group,M3M Merlin
Dwarka Expressway,Mahindra Life Spaces,Mahindra Aura
Golf Course Road Extension,Mahindra Lifespaces,Mahindra Luminare
New Gurgaon,Mapsko Group,Mapsko Casa Bella
New Gurgaon,Mapsko Group,Mapsko Royal Ville
Dwarka Expressway,Mapsko Group,Mapsco Paradise
Dwarka Expressway,Millennium Spire,Millennium spire central
Dwarka Expressway,NBCCLimited,NBCC greenview
Dwarka Expressway,NewGrowth Real Estate Private Equity & Development,New Growth Habitat
New Gurgaon,Orris Builders,Orris Carnation Residency
New Gurgaon,Orris Builders,Orris Aster Courts
Sohna Road,JMD group,JMD Gardens
Dwarka Expressway,Tata Housing,Lavida
New Gurgaon,Orris Infrastructure,Spring Homes
New Gurgaon,Orris Infrastructure and 3C,3C Greenopolis
Dwarka Expressway,Paras Buildtech,Paras dews
Dwarka Expressway,Pareena Infrastructures Pvt Ltd,Pareena Coban residences
Dwarka Expressway,Pareena Infrastructures Pvt Ltd,Pareena Laxmi apartment
Dwarka Expressway,Pareena Infrastructures Pvt Ltd,Pareena Enorme
Dwarka Expressway,Pareena Infrastructures Pvt Ltd,Pareena Express heights
Dwarka Expressway,Pareena Infrastructures Pvt Ltd,The Elite residence
New Gurgaon,Parkwood Group,Parkwood westend
